datetime,Model: PPFD_Avg+AirTC_Avg+Sedge,Model: PPFD_Avg,Model: AirTC_Avg,Model: Sedge,Model: PPFD_Avg+AirTC_Avg,Model: PPFD_Avg+Sedge,BestModel: PPFD_Avg
2016-07-14 14:00:00,-6.5133305,-6.6544385,-5.2109365,-2.2154713,-7.312855,-6.523582,-6.703118
2016-07-14 14:30:00,-6.5912504,-6.9065657,-5.1102877,-2.0945947,-7.5484576,-6.6308837,-6.9662876
2016-07-14 15:00:00,-6.2166204,-6.596083,-4.9660687,-1.6138933,-7.2082014,-6.301281,-6.642206
2016-07-14 15:30:00,-6.301455,-6.7142906,-4.881541,-1.6138933,-7.3116827,-6.412133,-6.765591
2016-07-14 16:00:00,-6.421985,-6.8369875,-4.96694,-1.6138933,-7.451455,-6.527194,-6.893662
2016-07-14 16:30:00,-6.322069,-6.688854,-5.108981,-1.6138933,-7.328526,-6.3882785,-6.7390404
2016-07-14 17:00:00,-6.24305,-6.5803723,-5.28675,-1.6138933,-7.2522864,-6.286547,-6.6258073
2016-07-14 17:30:00,-5.7809167,-6.0619044,-5.285443,-1.6138933,-6.7288685,-5.8114877,-6.084631
2016-07-14 18:00:00,-5.5700164,-5.7993045,-5.1813083,-1.6138933,-6.4417806,-5.576125,-5.8105283
2016-07-14 18:30:00,-5.0873837,-5.280046,-4.947333,-1.6138933,-5.7359605,-5.0875435,-5.2724347
2016-07-14 19:00:00,-4.8518214,-5.190555,-4.2475853,-1.6139785,-5.632142,-5.000044,-5.17824
2016-07-14 19:30:00,-4.625693,-5.0127554,-3.908604,-1.6138933,-5.401182,-4.8288627,-4.9902935
2016-07-14 20:00:00,-4.184868,-4.572112,-3.5987878,-1.6138933,-4.8425546,-4.429587,-4.5305266
2016-07-14 20:30:00,-3.7808495,-4.1425004,-3.4975355,-1.6138933,-4.1044364,-4.04116,-4.0813003
2016-07-14 21:00:00,-3.2714257,-3.7122068,-3.3256726,-1.6138933,-3.3337574,-3.6875913,-3.6282964
2016-07-14 21:30:00,-2.6507359,-3.241498,-3.1831198,-1.6138933,-2.4743738,-3.1271849,-3.1681569
2016-07-14 22:00:00,-1.9229535,-2.4770603,-3.0947459,-1.6138933,-1.8283623,-2.426188,-2.503442
2016-07-14 22:30:00,-1.330278,-1.6589164,-3.0081012,-1.6138933,-1.289581,-1.59874,-1.7168274
2016-07-14 23:00:00,-0.25473237,-0.3239721,-2.7480736,-1.6138933,-0.1642468,-0.280244,-0.35685766
2016-07-14 23:30:00,0.8672584,1.0702525,-2.5374691,-1.6138933,1.1874009,0.9440602,1.0613803
2016-07-15 00:00:00,1.3187255,1.5916759,-2.4286723,-1.6138933,1.7108248,1.398322,1.5927697
2016-07-15 00:30:00,1.322594,1.5961772,-2.4277587,-1.6138933,1.7153503,1.4022695,1.5973874
2016-07-15 01:00:00,1.4650284,1.7893647,-2.4697788,-1.61391,1.8595523,1.571726,1.7950915
2016-07-15 01:30:00,1.5350577,1.9355277,-2.622067,-1.6144733,1.8913485,1.7017001,1.944673
2016-07-15 02:00:00,1.5737971,2.0149996,-2.6808405,-1.6138936,1.9230965,1.7695283,2.026003
2016-07-15 02:30:00,1.6738282,2.084722,-2.6759427,-1.6330119,1.9868344,1.8903087,2.097355
2016-07-15 03:00:00,1.8962721,2.0634878,-2.7004316,-1.7590854,1.9528123,2.1400166,2.0756242
2016-07-15 03:30:00,2.0739892,1.9498628,-2.7128987,-1.973846,1.8460954,2.21606,1.9593426
2016-07-15 04:00:00,2.1522336,1.8886646,-2.752081,-2.1356153,1.7680568,2.2420967,1.8967136
2016-07-15 04:30:00,2.2533333,1.8594052,-2.7200227,-2.1778216,1.7629477,2.205661,1.8667699
2016-07-15 05:00:00,2.0575356,1.61279,-2.7431757,-2.217076,1.5323354,1.9915034,1.6143881
2016-07-15 05:30:00,1.8544987,1.3471199,-2.63587,-2.2584426,1.3670553,1.6839162,1.3430165
2016-07-15 06:00:00,1.4569436,0.9456936,-2.7663288,-2.3057997,0.92991865,1.2610871,0.93467605
